,date,day,call_volume,date_index,week_index
416,19-Feb-13,tuesday,8404,416,60
417,20-Feb-13,wednesday,8521,417,60
418,21-Feb-13,thursday,7858,418,60
419,22-Feb-13,friday,7240,419,60
420,23-Feb-13,saturday,2196,420,60
421,24-Feb-13,sunday,982,421,61
422,25-Feb-13,monday,9749,422,61
423,26-Feb-13,tuesday,8633,423,61
424,27-Feb-13,wednesday,8027,424,61
425,28-Feb-13,thursday,8096,425,61
426,01-Mar-13,friday,7204,426,61
427,02-Mar-13,saturday,2111,427,61
428,03-Mar-13,sunday,1058,428,62
429,04-Mar-13,monday,9602,429,62
430,05-Mar-13,tuesday,8784,430,62
431,06-Mar-13,wednesday,8852,431,62
432,07-Mar-13,thursday,8607,432,62
433,08-Mar-13,friday,7727,433,62
434,09-Mar-13,saturday,2359,434,62
435,10-Mar-13,sunday,1061,435,63
436,11-Mar-13,monday,9829,436,63
437,12-Mar-13,tuesday,9251,437,63
438,13-Mar-13,wednesday,8295,438,63
439,14-Mar-13,thursday,8336,439,63
440,15-Mar-13,friday,7386,440,63
441,16-Mar-13,saturday,2387,441,63
442,17-Mar-13,sunday,1051,442,64
443,18-Mar-13,monday,9624,443,64
444,19-Mar-13,tuesday,8400,444,64
445,20-Mar-13,wednesday,8148,445,64
446,21-Mar-13,thursday,8310,446,64
447,22-Mar-13,friday,8013,447,64
448,23-Mar-13,saturday,2440,448,64
449,24-Mar-13,sunday,1164,449,65
450,25-Mar-13,monday,9177,450,65
451,26-Mar-13,tuesday,8798,451,65
452,27-Mar-13,wednesday,8103,452,65
453,28-Mar-13,thursday,7673,453,65
454,29-Mar-13,friday,2378,454,65
455,30-Mar-13,saturday,1866,455,65
456,31-Mar-13,sunday,714,456,66
457,01-Apr-13,monday,1482,457,66
458,02-Apr-13,tuesday,9433,458,66
459,03-Apr-13,wednesday,8709,459,66
460,04-Apr-13,thursday,7995,460,66
461,05-Apr-13,friday,7495,461,66
462,06-Apr-13,saturday,2019,462,66
463,07-Apr-13,sunday,893,463,67
464,08-Apr-13,monday,9254,464,67
465,09-Apr-13,tuesday,8548,465,67
466,10-Apr-13,wednesday,8333,466,67
467,11-Apr-13,thursday,8180,467,67
468,12-Apr-13,friday,7356,468,67
469,13-Apr-13,saturday,2238,469,67
470,14-Apr-13,sunday,1103,470,68
471,15-Apr-13,monday,10030,471,68
